Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1961","1961","ha","4507000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1961","1961","t","4312000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1962","1962","ha","4643000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1962","1962","t","4607000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1963","1963","ha","4582000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1963","1963","t","4561000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1964","1964","ha","4618000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1964","1964","t","4664000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1965","1965","ha","4799000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1965","1965","t","4823000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1966","1966","ha","5073800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1966","1966","t","4893600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1967","1967","ha","5583400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1967","1967","t","6269300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1968","1968","ha","5715800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1968","1968","t","5701100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1969","1969","ha","5862200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1969","1969","t","5674300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1970","1970","ha","5852300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1970","1970","t","7485600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1971","1971","ha","5667600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1971","1971","t","5100500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1972","1972","ha","5837800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1972","1972","t","6388500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1973","1973","ha","6015400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1973","1973","t","5803500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1974","1974","ha","5863100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1974","1974","t","5558900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1975","1975","ha","6030700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1975","1975","t","7255800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1976","1976","ha","6000300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1976","1976","t","6361200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1977","1977","ha","5682700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1977","1977","t","5973300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1978","1978","ha","5760000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1978","1978","t","6199000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1979","1979","ha","5720600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1979","1979","t","5602900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1980","1980","ha","6004800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1980","1980","t","6957000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1981","1981","ha","5934700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1981","1981","t","6897100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1982","1982","ha","5720300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1982","1982","t","6548500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1983","1983","ha","5859000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1983","1983","t","7922000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1984","1984","ha","5799500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1984","1984","t","8441800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1985","1985","ha","5797200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1985","1985","t","6643700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1986","1986","ha","5923100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1986","1986","t","7592800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1987","1987","ha","5560900","A","Official figure",""
